scenario,scale_gev,log10_scale_gev,gY,g2,g3,lambdaH,C5_norm_gev_inverse,mass_norm_ev,m_light_ev,m_middle_ev,m_heavy_ev
eft_only,94.72066562641687,1.9764447412883055,0.3649398420593036,0.6210190549122957,0.8844836769155551,0.2383689222694188,8.637443826523289e-16,0.05236388855779475,0.0010289835016758669,0.00894751964428378,0.05158352362975588
eft_only,91.1876,1.9599357855026331,0.3648599195105142,0.6212017068401241,0.8856519459509629,0.23905811976203226,8.630905533699404e-16,0.05232425062281486,0.001028204558313074,0.008940746554759287,0.05154447642249328
full,1000.0,3.0,0.3554014832693349,0.6421631021084809,1.069169733532734,0.34463897431775464,9.096026492541201e-16,0.055144013337785826,0.001083362655428862,0.009438308220518752,0.05431948886255475
full,962.7001604871375,2.9834910442143276,0.35532766386202763,0.6423650590555051,1.071235164182804,0.34581709782404585,9.085867373299788e-16,0.05508242440030769,0.0010821526424642292,0.009427766737246959,0.05425882082963175
full,926.7915990019594,2.966982088428655,0.35525389043406275,0.6425672066656778,1.073312611313837,0.34700179466755854,9.075681198537675e-16,0.055020671440660564,0.0010809394072028389,0.009417197180581097,0.05419799122699229
full,892.2224210973171,2.9504731326429825,0.3551801629377286,0.6427695452391894,1.0754021918975334,0.3481931311045628,9.065467818134584e-16,0.05495875354875098,0.0010797229317652838,0.009406599394752704,0.05413699915815067
full,858.9426679806096,2.93396417685731,0.355106481325383,0.6429720750768925,1.077504024505912,0.34939117435179906,9.055227080464673e-16,0.05489666980535803,0.0010785031980928524,0.009395973222431098,0.054075843717630245
full,826.9042443141822,2.9174552210716374,0.35503284554945286,0.6431747964803036,1.079618229339503,0.3505959926042852,9.044958832375356e-16,0.05483441928200508,0.0010772801879449531,0.009385318504701432,0.054014523990836956
full,796.0608487087584,2.900946265285965,0.35495925556243413,0.6433777097516052,1.0817449282563354,0.3518076550535612,9.03466291916486e-16,0.054772001040823644,0.0010760538828965354,0.00937463508104133,0.05395303905392539
full,766.3679068094485,2.8844373095002926,0.35488571131689156,0.6435808151936476,1.0838842448014274,0.35302623190632965,9.024339184560083e-16,0.05470941413441914,0.0010748242643353668,0.009363922789298032,0.053891387973666466
full,737.7825068776478,2.8679283537146203,0.3548122127654588,0.6437841131099507,1.0860363042369092,0.3542517944035146,9.013987470694017e-16,0.05464665760573407,0.0010735913134593922,0.009353181465664828,0.05382956980731261
full,710.2633377757135,2.8514193979289475,0.3547387598608381,0.6439876038047057,1.0882012335728126,0.3554844148397561,9.00360761808274e-16,0.0545837304879085,0.001072355011273973,0.009342410944657318,0.05376758360246047
full,683.7706292648094,2.834910442143275,0.3546653525558001,0.6441912875827775,1.0903791615985396,0.35672416658335143,8.99319946560192e-16,0.05452063180413765,0.0010711153385891056,0.009331611059088916,0.05370542839691044
full,658.2660945296229,2.818401486357603,0.35459199080318404,0.6443951647497067,1.0925702189150373,0.3579711240966585,8.982762850462868e-16,0.054457360567526696,0.0010698722760165511,0.009320781640046093,0.053643103218523835
full,633.7128748469087,2.80189253057193,0.35451867455589725,0.6445992356117107,1.094774537967688,0.3592253629569743,8.972297608188114e-16,0.054393915780942645,0.0010686258039669266,0.009309922516862978,0.053580607085076816
full,610.0754863178843,2.7853835747862576,0.3544454037669153,0.6448035004756865,1.0969922530799425,0.3604869598779016,8.961803572586492e-16,0.05433029643686338,0.001067375902646759,0.009299033517095528,0.05351793900411182
full,587.3197685874957,2.7688746190005853,0.35437217838928164,0.6450079596492121,1.099223500487709,0.3617559927312182,8.951280575727751e-16,0.054266501517223724,0.0010661225520554433,0.009288114466495174,0.05345509797278578
full,565.41283547645,2.7523656632149125,0.35429899837610773,0.6452126134405487,1.1014684183745203,0.3630325405692622,8.94072844791669e-16,0.05420252999325857,0.0010648657319821666,0.009277165188981994,0.05339208297771578
full,544.3230274546659,2.73585670742924,0.3542258636805727,0.6454174621586427,1.103727146907497,0.3643166836478458,8.930147017666767e-16,0.054138380825342995,0.001063605422002762,0.009266185506617316,0.053328892994821374
full,524.0198658874514,2.719347751643568,0.3541527742559233,0.6456225061131273,1.1059998282741248,0.36560850344971346,8.919536111673248e-16,0.054074052962829355,0.0010623416014765156,0.009255175239575876,0.05326552698916427
full,504.47400898829727,2.702838795857895,0.35407973005547383,0.6458277456143251,1.1082866067198662,0.36690808270855535,8.908895554785824e-16,0.054009545343881374,0.001061074249542899,0.009244134206117369,0.053201983914784846
full,485.6572094146234,2.6863298400722226,0.35400673103260594,0.6460331809732492,1.1105876285866247,0.36821550543359166,8.898225169980737e-16,0.05394485689530513,0.0010598033451182532,0.009233062222557587,0.05313826271453561
full,467.54227344519336,2.6698208842865503,0.3539337771407685,0.6462388125016061,1.1129030423520807,0.36953085693474086,8.88752477833239e-16,0.05387998653237688,0.0010585288668924161,0.009221959103238864,0.053074362319911667
full,450.1030216802083,2.6533119285008775,0.3538608683334776,0.6464446405117971,1.115232998669917,0.3708542238483846,8.876794198984424e-16,0.05381493315866787,0.0010572507933252558,0.009210824660500194,0.05301028165087813
full,433.3142512072821,2.636802972715205,0.35378800456431625,0.6466506653169202,1.1175776504109556,0.37218569416374414,8.866033249120305e-16,0.05374969566586584,0.0010559691026431946,0.009199658704646589,0.05294601961569425
full,417.1516991786143,2.620294016929533,0.3537151857869343,0.6468568872307726,1.1199371527052207,0.373525357249881,8.85524174393335e-16,0.05368427293359344,0.0010546837728356063,0.009188461043918052,0.05288157511073466
full,401.5920077467337,2.60378506114386,0.3536424119550485,0.6470633065678527,1.1223116629849508,0.3748733038833361,8.844419496596242e-16,0.05361866382922334,0.0010533947816512258,0.009177231484457921,0.05281694702030711
full,386.6126903081323,2.5872761053581876,0.353569683022442,0.6472699236433613,1.124701341028575,0.37622962627642,8.833566318230002e-16,0.053552867207690175,0.001052102106594417,0.009165969830280646,0.052752134216467315
full,372.192099006003,2.5707671495725153,0.35349699894296477,0.6474767387732046,1.1271063490056772,0.3775944181061692,8.822682017872409e-16,0.053486881911299085,0.0010508057249214258,0.009154675883239101,0.05268713555883037
full,358.3093934451233,2.5542581937868425,0.3534243596705328,0.6476837522739957,1.12952685152607,0.37896777454494285,8.811766402434945e-16,0.05342070676946465,0.0010495056136352722,0.009143349442979823,0.052621949894313444
full,344.9445105736691,2.53774923800117,0.3533517651591287,0.6478909644630566,1.131963015683563,0.38034979229068977,8.800819276687192e-16,0.05335434059861637,0.0010482017494838397,0.00913199030692686,0.05255657605704292
full,332.07813568842835,2.521240282215498,0.35327921536280094,0.6480983756584207,1.134415011103384,0.3817405695973212,8.789840443222608e-16,0.05328778220199111,0.0010468941089558552,0.009120598270246255,0.05249101286814969
full,319.6916745215194,2.5047313264298254,0.3532067102356641,0.6483059861788343,1.1368830099950158,0.38314020630745815,8.778829702410701e-16,0.053221030369343246,0.0010455826682751717,0.009109173125796425,0.05242525913548381
full,307.76722636826815,2.4882223706441526,0.3531342497318987,0.648513796343759,1.1393671872027944,0.384548803885374,8.767786852363436e-16,0.053154083876740914,0.0010442674033967528,0.009097714664093308,0.05235931365341369
full,296.28755821741294,2.4717134148584803,0.353061833805751,0.6487218064733739,1.141867720257723,0.3859664654507194,8.756711688900634e-16,0.053086941486356315,0.0010429482900025672,0.009086222673274425,0.05229317520261964
full,285.23607984624556,2.455204459072808,0.35298946241153295,0.6489300168885768,1.1443847894305452,0.38739329581306703,8.745604005514369e-16,0.05301960194624982,0.001041625303497351,0.009074696939062,0.05222684254988111
full,274.59681984470257,2.4386955032871356,0.35291713550362186,0.6491384279109876,1.146918577786126,0.38882940150731,8.73446359333238e-16,0.05295206399014824,0.0010402984190042372,0.009063137244724937,0.05216031444785828
full,264.3544025337525,2.422186547501463,0.3528448530364607,0.6493470398629494,1.1494692712391859,0.3902748908299511,8.723290241080464e-16,0.05288432633721676,0.0010389676113602936,0.009051543371039819,0.05209358963486744
full,254.4940257447249,2.4056775917157904,0.35277261496455753,0.6495558530675308,1.1520370586114352,0.3917298738763178,8.712083735043881e-16,0.05281638769182494,0.0010376328551118994,0.009039915096250867,0.05202666683465053
full,245.00143942746436,2.389168635930118,0.3527004212424857,0.6497648678485284,1.1546221316901535,0.3931944625787393,8.700843859027736e-16,0.052748246743306644,0.001036294124510063,0.009028252196028841,0.05195954475613856
full,235.8629250563994,2.3726596801444453,0.3526282718248835,0.6499740845304683,1.1572246852882617,0.3946687707457206,8.689570394316371e-16,0.052679902165713735,0.0010349513935055512,0.009016554443428864,0.05189222209320907
full,227.0652758047614,2.356150724358773,0.3525561666664543,0.6501835034386088,1.159844917305934,0.39615291410214987,8.678263119631729e-16,0.052611352617563764,0.0010336046357439573,0.009004821608847262,0.0518246975244375
full,218.59577745829995,2.3396417685731006,0.3524841057219661,0.650393124898942,1.1624830287937922,0.3976470103305749,8.666921811090721e-16,0.05254259674158141,0.0010322538245605883,0.008993053459977309,0.05175696971284266
full,210.44219004091573,2.323132812787428,0.3524120889462517,0.6506029492381964,1.1651392240177356,0.39915117911358416,8.655546242161569e-16,0.05247363316443392,0.0010308989329753174,0.008981249761763918,0.0516890373056259
full,202.5927301256543,2.3066238570017554,0.3523401162942085,0.6508129767838386,1.1678137105254436,0.4006655421773273,8.644136183619148e-16,0.052404460496460255,0.0010295399336872119,0.008969410276357321,0.05162089893390451
full,195.03605380549473,2.290114901216083,0.35226818772079826,0.651023207864076,1.1705066992146063,0.4021902233362132,8.632691403499285e-16,0.052335077331394135,0.0010281767990691368,0.008957534763065638,0.05155255321243877
