scale_gev,log10_scale_gev,gY,g2,g3,lambda1,lambda2,lambda3,lambda4,lambda5,mH2_gev2,mEta2_gev2,sqrt_mEta2_gev,max_abs_h,M1_gev,M2_gev,M3_gev,bfb_lambda3_margin,bfb_lambda345_margin
124519.70847350318,5.095238095238095,0.36540916603177775,0.6191868522771702,0.8762113189556435,0.23324078806970214,0.17792604279578442,0.09394787813551858,-0.08087585527568103,9.942817675610897e-09,-11757.15414257233,1459229.310954417,1207.9856418660022,0.12857239153161948,999.9808014717762,1299.8023510218347,1598.669880230522,0.29766240987003256,0.21678654465153385
111588.3992507748,5.0476190476190474,0.3651722521581,0.619681941799974,0.8794993855838141,0.23517306231057983,0.17781723154072335,0.09361380551629067,-0.08091233715381707,9.938661076578414e-09,-11946.610155810728,1460280.1866081355,1208.4205338408212,0.12865071003199738,999.9797781203223,1299.7918174566512,1598.5990558241433,0.2981078711343944,0.21719552404191628
100000.0,5.0,0.3649357984986582,0.6201782208163769,0.8828247487820688,0.23712587587597064,0.17770843628345034,0.09327810630488573,-0.08094774812012401,9.93437659433797e-09,-12134.094675624487,1461335.050914437,1208.8569191241936,0.12872917876084433,999.9787534553644,1299.7812705583558,1598.5281481918366,0.2985566210215075,0.21760886296700685
89615.05019466049,4.9523809523809526,0.3646998035654064,0.6206756940971156,0.8861881189962886,0.239099601587627,0.1775996542869938,0.09294076941725163,-0.0809820707710184,9.929962143528048e-09,-12319.594335222038,1462393.91991594,1209.2948027325428,0.12880779833742972,999.9777274734988,1299.770710292635,1598.4571571263466,0.29900873534626377,0.2180266546452832
80308.5722139152,4.904761904761905,0.36446426587702596,0.6211743664397575,0.88959022573576,0.2410946227523128,0.17749088279481157,0.092601783626033,-0.08101528733945254,9.925415597761828e-09,-12503.095667737745,1463456.8097717427,1209.7341897176184,0.1288865693841873,999.9767001713084,1299.7601366250174,1598.3860824194815,0.29946429214168946,0.21844899487682135
71968.56730011529,4.857142857142858,0.3642291839588865,0.6216742426688954,0.8930318182381108,0.24311133354425127,0.1773821190305904,0.09226113755667208,-0.08104737968491421,9.920734788525077e-09,-12684.585104452088,1464523.7367584403,1210.175085166787,0.12896549252673833,999.9756715453578,1299.7495495208789,1598.3149238621058,0.2999233717361972,0.2188759821305482
64494.667710376205,4.809523809523809,0.3639945563430071,0.6221753276363428,0.8965136661650699,0.24515013940572206,0.1772733601980456,0.09191881968328706,-0.08107832928300891,9.91591750402745e-09,-12864.048972920453,1465594.7172711494,1210.61749420333,0.12904456839391512,999.9746415921974,1299.7389489454372,1598.243681244139,0.30038605683452785,0.21930771763560142
57796.92884153313,4.761904761904762,0.3637603815680176,0.6226776262213324,0.9000365603304774,0.24721145746680162,0.17716460348071997,0.09157481832434476,-0.08110811721462448,9.910961488007588e-09,-13041.473495014274,1466669.7678245434,1211.0614219867396,0.1291237976177845,999.9736103083621,1299.7283348637513,1598.1723543545454,0.30085243260259664,0.21974430547701068
51794.74679231213,4.714285714285714,0.36352665817912083,0.6231811433307153,0.903601313461968,0.24929571698523878,0.17705584604178176,0.09122912163814394,-0.08113672415467818,9.90586443849251e-09,-13216.844784878118,1467748.9050538996,1211.5068737130218,0.12920318083367163,999.9725776903708,1299.7177072407192,1598.1009429813291,0.3013225867564432,0.22018585269590057
46415.88833612782,4.666666666666667,0.3632933847280542,0.6236858838991625,0.9072087609977499,0.2514033598074591,0.1769470850238216,0.09088171761812665,-0.08116413036044651,9.900624006511665e-09,-13390.148846806405,1468832.1457161559,1211.9538546149997,0.12928271868018398,999.971543734726,1299.707066041083,1598.029446911535,0.3017966096554716,0.2206324693944011
41595.62163071843,4.619047619047619,0.36306055977305224,0.6241918528893681,0.910859761919902,0.25353484085169037,0.17683831754864768,0.09053259408803378,-0.08119031565947768,9.895237794766142e-09,-13561.37157304342,1469919.5066909771,1212.4023699626198,0.12936241179923555,999.9705084379151,1299.6964112294218,1597.9578659312326,0.302274594400152,0.22108426884543653
37275.93720314938,4.571428571428571,0.3628281818788091,0.624699055292254,0.9145551996256147,0.25569062861420255,0.1767295407170794,0.09018173869692195,-0.08121525943708692,9.889703356253443e-09,-13730.49874151024,1471011.004981836,1212.8524250632622,0.12944226083607122,999.9694717964084,1299.6857427701507,1597.8861998255193,0.3027566369343416,0.22154136760755136
33404.849835132445,4.523809523809524,0.36259624961644144,0.6252074961271771,0.9182959828377946,0.257871205699655,0.1766207516087384,0.08982913891405825,-0.08123894062343472,9.884018192848261e-09,-13897.516013462315,1472106.6577171013,1213.3040252620533,0.12952226643929135,999.9684338066617,1299.6750606275239,1597.8144483785074,0.30324283615236736,0.2220038856449144
29935.772947204903,4.476190476190476,0.3623647615634515,0.6257171804421374,0.9220830465564592,0.26007706937654324,0.1765119472818376,0.08947478202370962,-0.08126133768018799,9.878179753839712e-09,-14062.408931081274,1473206.4821511405,1213.757175942182,0.12960242926087667,999.9673944651116,1299.6643647656347,1597.7426113733263,0.3037332940109985,0.22247194645263077
26826.957952797275,4.428571428571429,0.3621337163036905,0.6262281133139892,0.9259173530523419,0.2623087321587393,0.17640312477296677,0.08911865511984385,-0.0812824285867645,9.872185434425439e-09,-14225.162915004656,1474310.4956654331,1214.2118825252178,0.12968274995621326,999.9663537681823,1299.6536551484064,1597.6706885921094,0.30422811564642505,0.22294567718747513
24040.991835099743,4.380952380952381,0.3619031124273222,0.626740299848653,0.9297998929041325,0.2645667224141176,0.17629428109687534,0.08876074510075851,-0.08130219082616033,9.866032574163044e-09,-14385.763261797241,1475418.7157696956,1214.6681504714345,0.12976322918411767,999.9653117122781,1299.642931739601,1597.5986798159927,0.30472740949633936,0.22342520880414643
21544.346900318866,4.333333333333334,0.36167294853078674,0.62725374518133,0.9337316860807757,0.26685158500125916,0.1761854132462517,0.08840103866365502,-0.0813206013703607,9.859718455379274e-09,-14544.195141367592,1476531.1601030196,1215.1259852801352,0.1298438676068626,999.9642682937887,1299.6321945028078,1597.5265848251058,0.3052312874272076,0.22391067619712848
19306.977288832495,4.285714285714286,0.361443223216765,0.6277684544767185,0.9377137830702509,0.26916388193522844,0.17607651819149842,0.08803952229917422,-0.08133763666533424,9.85324030153739e-09,-14700.443594333545,1477647.8464350218,1215.5853924899814,0.12992466589020232,999.9632235090862,1299.6214434014564,1597.4544033985703,0.3057398648668022,0.22440221834822768
17301.957388458944,4.238095238095238,0.3612139350941425,0.6282844329292316,0.941747266056255,0.2715041930834134,0.17596759288050348,0.08767618228591045,-0.08135327261561058,9.846595275563196e-09,-14854.49352934017,1478768.7926670061,1216.0463776793245,0.13000562470339883,999.9621773545265,1299.6106783988007,1597.3821353144876,0.30625326094204885,0.22489997847984297
15505.157798326254,4.190476190476191,0.36098508277797453,0.628801685763218,0.9458332501442149,0.2738731168924238,0.17585863423840692,0.08731100468492081,-0.08136748456844174,9.839780478130094e-09,-15006.329720334048,1479894.0168331398,1216.5089464665436,0.13008674471924772,999.9611298264476,1299.599899457929,1597.3097803499375,0.3067715986222316,0.2254041042140094
13894.954943731389,4.142857142857143,0.3607566648894507,0.6293202182331837,0.9499728846380487,0.2762712711470398,0.17574963916736272,0.08694397533424623,-0.08138024729754699,9.832792945903688e-09,-15155.936803797358,1481023.5371016422,1216.973104510384,0.13016802661410465,999.9600809211729,1299.5891065417559,1597.2373382809728,0.3072950048675817,0.22591474773724177
12451.97084735032,4.095238095238095,0.36052868005586014,0.6298400356240161,0.9541673543691015,0.2786992937622032,0.1756406045462955,0.08657507984346133,-0.08139153498644158,9.825629649746294e-09,-15303.299275945516,1482157.3717759862,1217.4388575103007,0.13024947106791185,999.9590306350054,1299.5782996130267,1597.1648088826087,0.3078236107832598,0.2264320659711886
11158.83992507748,4.0476190476190474,0.3603011269105567,0.6303611432512104,0.9584178810786775,0.2811578436090449,0.17553152723065157,0.08620430358826953,-0.08140132121134935,9.81828749288185e-09,-15448.401489891996,1483295.539296114,1217.9062112068048,0.1303310787642249,999.9579789642336,1299.5674786343116,1597.0921919288198,0.30835755177873003,0.2269562207490932
